title,year,duration,genre,rating,movie_url
Hachi: A Dog's Tale ,2009,1h 33min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1028532/
Mary and Max ,2009,1h 32min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0978762/
Prisoners ,2013,2h 33min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1392214/
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1201607/
Mad Max: Fury Road ,2015,2h,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1392190/
Hacksaw Ridge ,2016,2h 19min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt2119532/
Ford v Ferrari ,2019,2h 32min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1950186/
Spotlight ,2015,2h 9min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1895587/
Inside Out ,2015,1h 35min,"<a href=""/search/title?genres=animation&amp;explore=title_type,genres"">Animation</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt2096673/
Rush ,2013,2h 3min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt1979320/
12 Years a Slave ,2013,2h 14min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt2024544/
Gone Girl ,2014,2h 29min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt2267998/
The Help ,2011,2h 26min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.0</span>",https://www.imdb.com/title/tt1454029/
It Happened One Night ,1934,1h 45min,"<a href=""/search/title?genres=comedy&amp;explore=title_type,genres"">Comedy</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0025316/
The Princess Bride ,1987,1h 38min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.0</span>",https://www.imdb.com/title/tt0093779/
The General ,1926,1h 7min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0017925/
